case_id,state,district,project_type,land_area_acres,number_of_landowners,acquisition_stage,number_of_objections,number_of_court_cases,compensation_completed_pct,pending_approvals,days_in_current_stage,approximate_delay_days,notification_3a_date,sanction_date,notification_3d_date,sanction_amount_lakh,land_acquisition_agency,environmental_clearance,forest_clearance,relocation_required,structures_affected,dispute_severity,payment_status,document_verification_status,project_length_km,last_review_days_ago
AH100471,Punjab,Ludhiana,Highway,11.96,4.0,Possession,0.0,0.0,89.9,0.0,107.0,81,2025-12-24,2024-12-23,2025-06-07,2918.0,NHAI,Completed,Completed,No,29.0,None,Partial,Partial,175.78,174.0
AH100472,Haryana,Ambala,Road Widening,31.73,14.0,Compensation,0.0,0.0,88.7,3.0,115.0,114,2025-01-23,2025-05-12,2025-09-11,,District Administration,Completed,Completed,No,14.0,None,Partial,Partial,100.48,93.0
AH100473,Haryana,Rohtak,Bypass,17.39,5.0,Objection,3.0,2.0,,1.0,4.0,82,2025-02-24,2025-10-26,2026-03-06,1356.0,Special LA Unit,Completed,Completed,Yes,1.0,None,Pending,Complete,35.86,82.0
AH100474,Uttarakhand,Dehradun,Road Widening,17.34,7.0,Compensation,0.0,0.0,73.4,1.0,167.0,156,2025-07-24,2024-01-02,2024-03-09,944.0,NHAI,Completed,Completed,No,10.0,Low,Partial,Complete,89.33,55.0
AH100475,Punjab,Ludhiana,Road Widening,8.78,4.0,Compensation,0.0,0.0,91.8,1.0,235.0,159,2025-12-07,2025-01-31,2025-06-03,53.0,Special LA Unit,Not Required,Not Required,No,1.0,High,Complete,Complete,160.02,81.0
AH100476,Punjab,Bathinda,Highway,8.81,8.0,Award,1.0,1.0,66.7,2.0,68.0,121,2026-02-01,2024-08-16,2024-11-09,1944.0,District Administration,Completed,Completed,Yes,18.0,None,Partial,Partial,90.91,99.0
AH100477,Rajasthan,Jaipur,Bypass,18.21,10.0,Notification,0.0,0.0,4.9,0.0,23.0,70,2024-01-17,2024-03-23,2024-08-09,83.0,District Administration,Completed,Pending,No,30.0,None,Complete,Complete,63.96,114.0
AH100478,Uttarakhand,Dehradun,Highway,5.71,3.0,Compensation,2.0,,67.9,4.0,80.0,100,2025-08-20,2024-02-02,2024-03-16,2892.0,Special LA Unit,Completed,Not Required,Yes,19.0,Medium,Complete,Complete,49.92,93.0
AH100479,Rajasthan,Udaipur,Highway,7.32,3.0,Compensation,0.0,0.0,70.9,0.0,23.0,49,2024-04-08,2025-01-31,2025-04-13,1409.0,State PWD,Completed,Pending,No,18.0,Medium,Pending,Pending,18.36,174.0
AH100480,Madhya Pradesh,Ujjain,Highway,12.1,4.0,Objection,2.0,0.0,32.0,1.0,22.0,80,2024-09-16,2025-05-04,2025-09-07,3637.0,District Administration,Completed,Pending,No,1.0,Medium,Complete,Partial,88.21,9.0
AH100481,Punjab,Hoshiarpur,Highway,34.27,12.0,Objection,3.0,1.0,24.3,1.0,66.0,132,2026-01-16,2025-04-01,2025-07-30,2657.0,NHAI,Completed,Completed,No,8.0,Medium,Partial,Partial,125.02,159.0
AH100482,Uttar Pradesh,Meerut,Road Widening,12.79,9.0,Objection,2.0,0.0,25.8,4.0,51.0,120,2024-08-13,2025-12-05,2026-05-10,4756.0,District Administration,Pending,Completed,No,8.0,None,Complete,Complete,2.28,80.0
AH100483,Punjab,Ludhiana,Highway,12.62,4.0,Compensation,0.0,0.0,81.7,0.0,80.0,76,2025-12-18,2025-02-16,2025-07-16,2450.0,NHAI,Completed,Completed,Yes,13.0,None,Partial,Complete,8.87,157.0
AH100484,Haryana,Ambala,Highway,4.86,6.0,Objection,2.0,1.0,23.1,1.0,36.0,81,2025-02-20,2025-06-14,2025-07-16,824.0,NHAI,Completed,Completed,Yes,25.0,Low,Complete,Complete,66.24,96.0
AH100485,Uttar Pradesh,Meerut,Bypass,50.47,20.0,Objection,2.0,0.0,16.7,1.0,20.0,97,2024-07-28,2026-01-04,2026-02-16,4613.0,State PWD,Pending,Completed,No,13.0,None,Complete,Partial,48.42,139.0
AH100486,Madhya Pradesh,Jabalpur,Highway,30.6,12.0,Award,1.0,0.0,27.3,0.0,110.0,103,2024-10-27,2025-08-14,2025-11-05,1579.0,State PWD,Pending,Completed,Yes,4.0,None,Partial,Partial,179.08,110.0
AH100487,Haryana,Sirsa,Road Widening,33.67,13.0,Possession,0.0,0.0,96.1,0.0,11.0,12,2025-04-22,2026-03-30,2026-09-19,3832.0,Special LA Unit,Completed,Completed,No,3.0,None,Partial,Complete,69.58,111.0
AH100488,Punjab,Jalandhar,Highway,3.47,5.0,Award,0.0,0.0,55.1,3.0,38.0,77,2025-11-19,2024-07-18,2024-10-27,3924.0,Special LA Unit,Pending,Not Required,No,3.0,None,Pending,Partial,92.74,149.0
AH100489,Uttarakhand,Haridwar,Bypass,16.1,5.0,Award,0.0,0.0,38.8,3.0,44.0,81,2025-06-29,2025-12-09,2026-05-21,4627.0,Special LA Unit,Not Required,Completed,No,28.0,Medium,Complete,Partial,163.92,93.0
AH100490,Himachal Pradesh,Sirmaur,Railway,5.38,4.0,Award,0.0,0.0,40.9,2.0,53.0,85,2026-04-19,2025-09-19,2025-10-27,3218.0,District Administration,Not Required,Completed,No,6.0,Low,Complete,Complete,123.69,38.0
AH100491,Himachal Pradesh,Kangra,Highway,23.01,9.0,Compensation,0.0,0.0,71.6,0.0,75.0,114,2026-02-19,2025-06-08,2025-11-29,2583.0,NHAI,Completed,Pending,No,9.0,None,Partial,Complete,129.19,135.0
AH100492,Punjab,Patiala,Bypass,15.7,8.0,Possession,0.0,0.0,90.0,0.0,35.0,18,2025-11-09,2024-01-04,2024-02-12,1955.0,District Administration,Not Required,Not Required,No,15.0,High,Complete,Partial,79.94,2.0
AH100493,Uttarakhand,Nainital,Highway,18.56,8.0,Possession,1.0,0.0,86.9,0.0,75.0,72,2025-06-26,2025-05-02,2025-09-30,2260.0,State PWD,Pending,Completed,No,17.0,None,Complete,Complete,64.39,39.0
AH100494,Madhya Pradesh,Gwalior,Highway,6.49,3.0,Award,1.0,0.0,47.3,3.0,48.0,85,2024-09-17,2026-02-11,2026-07-22,3912.0,District Administration,Pending,Pending,No,25.0,Low,Partial,Pending,161.16,6.0
AH100495,Madhya Pradesh,Jabalpur,Road Widening,4.93,4.0,Award,1.0,0.0,26.8,5.0,117.0,145,2025-01-06,2025-08-03,2025-10-16,2852.0,District Administration,Pending,Completed,No,26.0,Low,Complete,Partial,72.28,18.0
AH100496,Rajasthan,Jaipur,Railway,6.93,1.0,Objection,1.0,0.0,43.0,1.0,112.0,136,2024-04-17,2024-01-05,2024-03-20,293.0,Special LA Unit,Completed,Not Required,Yes,6.0,None,Pending,Complete,22.63,145.0
AH100497,Madhya Pradesh,Bhopal,Highway,15.51,9.0,Compensation,0.0,0.0,71.8,0.0,74.0,88,2024-12-02,2024-09-16,2025-01-11,1892.0,State PWD,Pending,Pending,No,27.0,Medium,Complete,Partial,24.02,12.0
AH100498,Himachal Pradesh,Kangra,Highway,9.72,5.0,Compensation,1.0,0.0,64.3,1.0,27.0,74,2026-04-13,2025-05-27,2025-10-12,4574.0,Special LA Unit,Pending,Completed,No,12.0,Low,Complete,Complete,179.24,30.0
AH100499,Madhya Pradesh,Gwalior,Highway,14.81,6.0,Award,1.0,0.0,60.4,3.0,47.0,93,2025-01-18,2025-12-31,2026-02-17,1093.0,District Administration,Not Required,Not Required,No,5.0,None,Complete,Complete,143.0,26.0
AH100500,Rajasthan,Udaipur,Road Widening,5.0,4.0,Award,1.0,1.0,58.9,0.0,107.0,115,2024-04-12,2025-02-04,2025-04-10,2387.0,District Administration,Completed,Completed,No,16.0,None,Pending,Complete,102.0,14.0
AH100501,Uttarakhand,Haridwar,,11.88,4.0,Objection,1.0,0.0,23.6,2.0,32.0,77,2025-08-09,2026-02-10,2026-07-03,,Special LA Unit,Not Required,Completed,Yes,5.0,High,Pending,Partial,113.45,141.0
AH100502,Himachal Pradesh,Sirmaur,Highway,39.09,15.0,Compensation,1.0,0.0,74.5,3.0,81.0,120,2026-05-16,2025-12-17,2026-05-17,1487.0,Special LA Unit,Completed,Completed,No,11.0,High,Pending,Partial,41.1,53.0
AH100503,Himachal Pradesh,Shimla,Bridge,15.84,7.0,Objection,2.0,2.0,29.6,3.0,37.0,125,2026-02-19,2024-08-28,2024-10-20,3418.0,State PWD,Not Required,Not Required,No,4.0,Low,Pending,Complete,129.77,31.0
AH100504,Uttar Pradesh,Varanasi,Highway,16.7,9.0,Award,1.0,0.0,49.7,1.0,70.0,94,2024-09-03,2024-06-24,2024-12-04,3936.0,NHAI,Pending,Not Required,No,23.0,None,Complete,Partial,156.03,96.0
AH100505,Haryana,Sirsa,Railway,16.82,8.0,Notification,0.0,0.0,5.1,3.0,17.0,79,2025-02-12,2026-03-23,2026-08-30,1662.0,NHAI,Pending,Completed,No,7.0,Low,Pending,Complete,3.47,13.0
AH100506,Haryana,Ambala,Bridge,7.73,2.0,Objection,2.0,0.0,33.4,3.0,76.0,113,2025-04-22,2025-06-14,2025-11-21,4483.0,State PWD,Pending,Pending,No,29.0,None,Partial,Complete,28.02,52.0
AH100507,Uttar Pradesh,Agra,Railway,47.8,19.0,Objection,5.0,0.0,13.2,2.0,91.0,160,2024-08-11,2026-02-02,2026-04-09,2259.0,District Administration,Not Required,Pending,Yes,9.0,Medium,Complete,Complete,176.31,144.0
AH100508,Uttar Pradesh,Agra,Highway,16.18,8.0,Compensation,2.0,0.0,71.5,2.0,29.0,74,2024-08-29,2026-04-09,2026-08-17,1515.0,Special LA Unit,Completed,Completed,No,4.0,Medium,Complete,Complete,173.52,1.0
AH100509,Uttar Pradesh,Kanpur Nagar,Highway,13.88,3.0,Compensation,1.0,0.0,67.8,0.0,67.0,99,2024-07-31,2025-01-17,2025-03-12,,NHAI,Completed,Pending,Yes,22.0,None,Partial,Complete,135.89,61.0
AH100510,Himachal Pradesh,Mandi,Highway,21.41,7.0,Award,3.0,1.0,33.7,3.0,64.0,135,2026-06-14,2024-02-11,2024-04-10,1369.0,State PWD,Not Required,Not Required,Yes,15.0,None,Complete,Partial,10.62,49.0
AH100511,Punjab,Firozpur,Road Widening,26.56,14.0,Award,2.0,0.0,42.9,1.0,47.0,72,2025-11-02,2026-03-29,2026-05-08,2836.0,Special LA Unit,Completed,Pending,No,4.0,Low,Complete,Partial,139.55,70.0
AH100512,Punjab,Hoshiarpur,Bridge,4.14,2.0,Possession,1.0,0.0,91.4,0.0,53.0,40,2026-01-26,2025-06-09,2025-09-20,1165.0,Special LA Unit,Pending,Completed,Yes,11.0,High,Partial,Complete,25.31,38.0
AH100513,Punjab,Patiala,Highway,12.53,5.0,Possession,1.0,0.0,87.5,0.0,52.0,43,2026-01-04,2024-04-18,2024-09-01,1823.0,Special LA Unit,Completed,Pending,No,6.0,Medium,Complete,Complete,124.59,104.0
AH100514,Punjab,Kangra,Highway,79.83,30.0,Compensation,1.0,0.0,74.6,0.0,95.0,143,2026-05-13,2025-04-21,2025-06-19,3568.0,Special LA Unit,Not Required,Not Required,No,21.0,None,Complete,Partial,11.65,139.0
AH100515,Rajasthan,Jaipur,Highway,48.77,18.0,Compensation,0.0,0.0,81.8,0.0,77.0,120,2024-04-04,2024-01-26,2024-03-23,4384.0,NHAI,Not Required,Completed,No,11.0,Medium,Pending,Pending,25.14,134.0
AH100516,Himachal Pradesh,Shimla,Road Widening,10.91,2.0,Compensation,2.0,0.0,69.4,2.0,79.0,90,2026-03-04,2024-09-17,2024-11-27,3410.0,District Administration,Completed,Completed,No,3.0,Low,Pending,Partial,145.09,140.0
AH100517,Rajasthan,Udaipur,Road Widening,22.17,7.0,Compensation,0.0,0.0,72.9,0.0,48.0,67,2024-02-29,2024-11-09,2025-01-07,2665.0,District Administration,Pending,Pending,No,0.0,Low,Complete,Pending,98.77,97.0
AH100518,Haryana,Hisar,Highway,9.05,3.0,Objection,1.0,0.0,24.6,1.0,51.0,81,2025-03-03,2025-02-12,2025-07-16,3496.0,State PWD,Completed,Completed,No,29.0,High,Complete,Complete,41.37,1.0
AH100519,Uttarakhand,,Railway,16.13,6.0,Award,0.0,0.0,53.5,0.0,35.0,43,2025-06-18,2025-05-23,2025-07-17,2088.0,Special LA Unit,Pending,Not Required,No,7.0,Low,Complete,Complete,71.11,1.0
AH100520,Madhya Pradesh,Gwalior,Highway,8.09,3.0,Notification,0.0,0.0,10.0,3.0,34.0,90,2024-11-18,2026-01-25,2026-04-06,1390.0,Special LA Unit,Completed,Completed,Yes,25.0,None,Partial,Complete,105.86,145.0
AH100521,Uttar Pradesh,Kanpur Nagar,Road Widening,7.97,1.0,Compensation,1.0,0.0,,0.0,72.0,92,2024-05-11,2024-11-12,2025-01-26,3760.0,State PWD,Completed,Completed,No,14.0,Medium,Complete,Partial,24.09,37.0
AH100522,Uttar Pradesh,Meerut,Highway,7.22,,Compensation,1.0,0.0,77.0,1.0,154.0,118,2024-06-22,2025-10-23,2025-12-22,718.0,District Administration,Completed,Not Required,No,21.0,Medium,Complete,Complete,37.1,18.0
AH100523,Punjab,Firozpur,Highway,49.9,21.0,Possession,3.0,0.0,99.5,1.0,21.0,79,2026-01-12,2026-04-27,2026-10-15,4530.0,State PWD,Completed,Completed,No,17.0,Low,Complete,Complete,122.43,126.0
AH100524,Madhya Pradesh,Jabalpur,Road Widening,7.94,3.0,Notification,0.0,0.0,8.3,1.0,32.0,52,2024-10-13,2025-11-04,2026-01-04,2171.0,District Administration,Pending,Completed,Yes,12.0,None,Complete,Partial,155.42,51.0
AH100525,Madhya Pradesh,Bhopal,Road Widening,31.52,12.0,Award,0.0,0.0,49.6,1.0,79.0,93,2024-10-06,2024-08-17,2024-11-27,4096.0,Special LA Unit,Completed,Completed,Yes,19.0,None,Complete,Partial,70.82,64.0
AH100526,Himachal Pradesh,Sirmaur,Highway,8.27,7.0,Compensation,1.0,0.0,87.9,0.0,78.0,83,2026-04-11,2025-09-01,2025-12-24,539.0,Special LA Unit,Not Required,Not Required,No,3.0,Medium,Complete,Complete,158.64,134.0
AH100527,Uttar Pradesh,Varanasi,Railway,7.51,3.0,Possession,1.0,0.0,92.3,0.0,48.0,42,2024-05-09,2024-09-10,2024-11-18,2499.0,NHAI,Not Required,Completed,No,12.0,None,Complete,Partial,61.03,39.0
AH100528,Himachal Pradesh,Kangra,Road Widening,16.63,13.0,Possession,0.0,0.0,91.6,0.0,68.0,48,2026-04-03,2025-03-06,2025-06-14,2138.0,Special LA Unit,Pending,Pending,No,3.0,High,Complete,Pending,159.68,151.0
AH100529,Himachal Pradesh,Sirmaur,Highway,3.96,4.0,Objection,2.0,0.0,20.4,4.0,55.0,108,2026-04-08,2025-07-25,2025-09-18,1814.0,District Administration,Not Required,Not Required,Yes,17.0,None,Partial,Partial,67.12,176.0
AH100530,Uttarakhand,Udham Singh Nagar,Bridge,21.01,9.0,Possession,0.0,0.0,92.9,0.0,26.0,44,2025-06-22,2024-09-20,2024-12-31,2584.0,District Administration,Not Required,Pending,No,16.0,Low,Complete,Partial,80.44,46.0
AH100531,Uttar Pradesh,Lucknow,Bridge,10.64,5.0,Possession,0.0,0.0,84.8,0.0,14.0,10,2024-05-28,2024-01-04,2024-02-05,3327.0,NHAI,Pending,Completed,Yes,26.0,None,Complete,Complete,22.79,26.0
AH100532,Uttar Pradesh,Agra,Highway,7.48,6.0,Possession,1.0,0.0,92.5,0.0,47.0,41,2024-05-20,2026-01-23,2026-04-28,4712.0,State PWD,Pending,Completed,No,0.0,None,Complete,Complete,95.28,114.0
AH100533,Uttar Pradesh,Meerut,Bridge,6.23,2.0,Compensation,1.0,0.0,76.6,1.0,91.0,106,2024-09-13,2025-10-16,2026-01-08,4093.0,State PWD,Completed,Pending,Yes,22.0,None,Complete,Complete,172.63,175.0
AH100534,Uttarakhand,Dehradun,Railway,63.79,23.0,Compensation,2.0,0.0,72.7,3.0,73.0,135,2025-06-03,2024-04-20,2024-07-11,1196.0,NHAI,Not Required,Completed,No,20.0,None,Complete,Complete,58.86,98.0
AH100535,Uttar Pradesh,Kanpur Nagar,Highway,11.6,8.0,Notification,0.0,0.0,6.1,1.0,39.0,54,2024-05-18,2024-12-05,2025-01-20,4894.0,Special LA Unit,Pending,Pending,No,17.0,None,Partial,Complete,124.59,73.0
AH100536,Haryana,Panipat,Road Widening,11.19,5.0,Objection,1.0,0.0,24.6,2.0,62.0,91,2025-02-14,2024-08-23,2025-02-18,2516.0,NHAI,Completed,Pending,Yes,27.0,Medium,Pending,Partial,167.24,44.0
AH100537,Rajasthan,Alwar,Highway,25.08,9.0,Notification,0.0,0.0,19.5,2.0,30.0,80,2024-04-13,2026-05-29,2026-07-02,2313.0,District Administration,Completed,Not Required,No,24.0,High,Partial,Complete,122.54,6.0
AH100538,Haryana,Sirsa,Road Widening,5.84,2.0,Award,0.0,0.0,44.0,3.0,15.0,43,2025-05-01,2026-04-27,2026-06-17,104.0,District Administration,Completed,Pending,No,10.0,Low,Complete,Complete,97.68,46.0
AH100539,Rajasthan,Ajmer,Bridge,31.32,9.0,Possession,0.0,0.0,94.6,0.0,57.0,50,2024-01-20,2025-09-14,2025-10-29,3357.0,District Administration,Pending,Pending,No,9.0,High,Complete,Complete,177.16,69.0
AH100540,Uttarakhand,Udham Singh Nagar,Highway,11.58,7.0,Compensation,1.0,0.0,84.2,0.0,199.0,177,2025-09-30,2025-01-31,2025-07-26,4439.0,Special LA Unit,Not Required,Completed,No,22.0,Medium,Pending,Complete,35.23,107.0
AH100541,Rajasthan,Jaipur,Road Widening,3.68,2.0,Award,0.0,,33.4,1.0,29.0,64,2024-02-19,2024-02-16,2024-05-03,1500.0,NHAI,Completed,Completed,No,29.0,None,Pending,Pending,7.11,166.0
AH100542,Uttar Pradesh,Varanasi,Highway,7.61,6.0,Compensation,0.0,0.0,66.1,1.0,114.0,118,2024-06-24,2024-08-10,2024-11-12,4343.0,NHAI,Completed,Not Required,No,10.0,None,Pending,Partial,102.0,2.0
AH100543,Uttar Pradesh,Lucknow,Road Widening,4.71,3.0,Compensation,0.0,0.0,69.0,0.0,70.0,65,2024-06-06,2024-03-24,2024-08-13,482.0,Special LA Unit,Not Required,Not Required,No,21.0,Medium,Pending,Complete,51.58,156.0
AH100544,Punjab,Moga,Bypass,12.79,,Award,0.0,0.0,52.7,4.0,20.0,80,2026-01-17,2025-12-11,2026-01-17,4835.0,NHAI,Completed,Completed,No,6.0,Low,Pending,Complete,114.53,144.0
AH100545,Rajasthan,Jaipur,Highway,6.08,2.0,Compensation,1.0,0.0,89.5,1.0,95.0,102,2024-02-18,2024-03-20,2024-04-29,1302.0,State PWD,,Completed,No,20.0,Medium,Complete,Complete,6.12,21.0
AH100546,Haryana,Rohtak,Road Widening,5.54,4.0,Award,0.0,0.0,55.6,0.0,40.0,45,2025-01-21,2025-09-01,2025-10-28,2432.0,District Administration,Completed,Pending,Yes,8.0,Low,Partial,Pending,47.47,75.0
AH100547,Uttarakhand,Haridwar,Highway,15.31,5.0,Compensation,1.0,0.0,66.8,0.0,124.0,105,2025-06-16,2026-05-07,2026-09-15,121.0,District Administration,Completed,Completed,No,24.0,None,Complete,Complete,128.68,147.0
AH100548,Haryana,Panipat,Railway,12.4,6.0,Compensation,1.0,0.0,63.6,0.0,63.0,73,2025-04-09,2024-10-04,2025-03-29,4496.0,NHAI,Completed,Completed,No,22.0,None,Partial,Complete,167.14,12.0
AH100549,Uttarakhand,Nainital,Railway,33.37,13.0,Award,1.0,0.0,27.8,3.0,58.0,132,2025-09-04,2025-09-07,2026-01-08,2571.0,NHAI,Completed,Completed,No,0.0,None,Partial,Complete,63.63,39.0
AH100550,Punjab,Firozpur,Railway,32.14,11.0,Award,0.0,0.0,39.7,1.0,16.0,69,2025-12-23,2026-03-02,2026-08-09,4854.0,Special LA Unit,Pending,Completed,No,23.0,Low,Pending,Complete,32.29,34.0
AH100551,Madhya Pradesh,Ujjain,Highway,12.58,5.0,Compensation,0.0,0.0,90.4,0.0,28.0,36,2024-12-20,2025-01-19,2025-06-30,1897.0,District Administration,Completed,Completed,Yes,4.0,None,Pending,Pending,99.07,59.0
AH100552,Punjab,Ludhiana,Road Widening,18.26,8.0,Possession,0.0,0.0,86.1,1.0,55.0,54,2026-01-15,2025-02-07,2025-04-19,346.0,Special LA Unit,Pending,Completed,No,7.0,None,Complete,Partial,47.88,125.0
AH100553,Madhya Pradesh,Bhopal,Road Widening,3.61,2.0,Award,0.0,0.0,40.8,1.0,83.0,81,2024-10-13,2024-06-29,2024-08-25,3407.0,District Administration,Not Required,Completed,No,17.0,None,Partial,Pending,129.69,120.0
AH100554,Himachal Pradesh,Kangra,Railway,21.58,12.0,Possession,0.0,0.0,83.6,0.0,40.0,36,2026-06-04,2025-01-19,2025-03-14,857.0,District Administration,Not Required,Not Required,No,18.0,Low,Partial,Complete,16.04,145.0
AH100555,Haryana,Sirsa,Road Widening,16.93,8.0,Compensation,0.0,0.0,75.4,2.0,76.0,75,2025-03-30,2026-02-25,2026-07-24,3095.0,State PWD,Completed,Not Required,Yes,18.0,None,Partial,Complete,40.75,161.0
AH100556,Punjab,Amritsar,Bypass,26.87,11.0,Notification,0.0,0.0,8.7,1.0,47.0,75,2025-10-24,2025-08-20,2025-12-28,,NHAI,Completed,Completed,Yes,10.0,Low,Partial,Pending,107.37,81.0
AH100557,Himachal Pradesh,Shimla,Highway,9.2,4.0,Award,0.0,0.0,37.5,1.0,,63,2026-02-26,2024-06-30,2024-12-06,880.0,District Administration,Completed,Completed,No,27.0,Medium,Partial,Complete,32.18,157.0
AH100558,Punjab,Hoshiarpur,Highway,9.27,4.0,Objection,3.0,1.0,24.0,5.0,34.0,93,2025-12-14,2025-04-18,2025-08-02,3207.0,District Administration,Pending,Completed,No,19.0,Medium,Complete,Complete,47.49,10.0
AH100559,Punjab,Amritsar,Bridge,9.32,3.0,Notification,0.0,0.0,14.0,2.0,22.0,45,2026-02-05,2025-09-28,2026-03-23,3385.0,State PWD,Completed,Not Required,Yes,16.0,High,Partial,Complete,122.25,85.0
AH100560,Haryana,Karnal,Highway,40.42,14.0,Objection,2.0,1.0,11.2,3.0,148.0,193,2025-04-27,2024-03-10,2024-08-21,804.0,Special LA Unit,Not Required,Completed,No,22.0,None,Pending,Complete,87.07,83.0
AH100561,Rajasthan,Ajmer,Bridge,15.19,8.0,Compensation,1.0,0.0,92.8,3.0,120.0,135,2024-02-09,2025-11-17,2026-04-17,977.0,District Administration,Pending,Not Required,No,8.0,None,Complete,Complete,59.38,178.0
AH100562,Haryana,Panipat,Road Widening,3.35,5.0,Compensation,0.0,0.0,57.4,2.0,195.0,141,2025-03-19,2024-06-30,2024-11-27,4299.0,District Administration,Completed,Pending,No,13.0,None,Complete,Complete,15.12,173.0
AH100563,Uttar Pradesh,Varanasi,Bridge,20.65,8.0,Award,0.0,0.0,36.4,4.0,69.0,92,2024-06-12,2024-09-22,2024-11-09,79.0,District Administration,Completed,Not Required,No,15.0,None,Partial,Pending,129.79,91.0
AH100564,Himachal Pradesh,Kangra,Road Widening,8.05,5.0,Award,1.0,1.0,47.8,1.0,132.0,122,2026-03-11,2025-01-09,2025-05-30,1188.0,NHAI,Pending,Completed,No,3.0,None,Partial,Complete,136.54,14.0
AH100565,Uttar Pradesh,Prayagraj,Bypass,30.02,11.0,Award,0.0,0.0,54.3,1.0,48.0,96,2024-08-01,2025-03-30,2025-09-18,4852.0,Special LA Unit,Not Required,Pending,No,9.0,Medium,Partial,Complete,16.59,77.0
AH100566,Uttar Pradesh,Agra,Railway,18.88,8.0,Possession,2.0,1.0,91.4,1.0,39.0,86,2024-07-24,2026-04-04,2026-06-16,2760.0,NHAI,Completed,Completed,No,25.0,High,Complete,Complete,21.06,120.0
AH100567,Uttar Pradesh,Varanasi,Road Widening,34.27,11.0,Possession,,0.0,93.3,1.0,24.0,59,2024-08-12,2024-07-19,2024-12-18,183.0,NHAI,Pending,Pending,No,21.0,None,Complete,Complete,70.5,137.0
AH100568,Uttarakhand,Udham Singh Nagar,Highway,28.88,10.0,Compensation,0.0,0.0,76.3,1.0,109.0,121,2025-08-01,2024-08-18,2024-11-08,4468.0,Special LA Unit,Completed,Pending,Yes,28.0,High,Pending,Pending,51.73,129.0
AH100569,Haryana,Hisar,Highway,26.49,9.0,Objection,2.0,0.0,31.8,4.0,63.0,119,2025-05-29,2024-12-07,2025-02-06,1741.0,NHAI,Not Required,Not Required,No,18.0,None,Partial,Complete,167.27,137.0
AH100570,Himachal Pradesh,Solan,Highway,31.32,12.0,Possession,1.0,0.0,85.2,0.0,22.0,48,2026-05-03,2026-02-10,2026-06-29,3590.0,District Administration,Pending,Pending,No,1.0,None,Complete,Pending,148.22,170.0
AH100571,Madhya Pradesh,Gwalior,Bridge,23.87,8.0,Compensation,2.0,1.0,97.1,0.0,78.0,101,2025-01-09,2026-05-18,2026-07-11,3205.0,NHAI,Pending,Not Required,No,5.0,Low,Complete,Complete,77.75,166.0
AH100572,Uttar Pradesh,Kanpur Nagar,Highway,6.62,1.0,Notification,1.0,0.0,7.8,1.0,40.0,56,2024-09-11,2025-02-13,2025-05-26,1866.0,District Administration,Completed,Completed,No,10.0,None,Complete,Partial,137.23,177.0
AH100573,Rajasthan,Ajmer,Railway,4.52,1.0,Objection,2.0,0.0,31.8,2.0,28.0,86,2024-02-14,2025-09-15,2026-03-04,1883.0,NHAI,Not Required,Pending,No,11.0,Medium,Complete,Pending,56.44,172.0
AH100574,Rajasthan,Alwar,Road Widening,5.9,3.0,Objection,2.0,0.0,21.7,1.0,107.0,125,2024-01-07,2026-04-05,2026-05-28,,State PWD,Pending,Completed,No,30.0,High,Complete,Pending,169.01,59.0
AH100575,Madhya Pradesh,Gwalior,Highway,22.22,8.0,Compensation,0.0,0.0,55.2,2.0,48.0,79,2024-12-02,2026-01-31,2026-03-25,1936.0,District Administration,Completed,Completed,No,20.0,Low,Complete,Partial,42.92,150.0
AH100576,Himachal Pradesh,Sirmaur,Bridge,1.8,1.0,Award,0.0,1.0,26.1,2.0,37.0,66,2026-04-13,2025-09-05,2026-02-23,911.0,State PWD,Pending,Completed,No,26.0,Medium,Complete,Complete,151.6,90.0
AH100577,Haryana,Ambala,Highway,11.79,6.0,Objection,5.0,0.0,9.1,2.0,20.0,116,2025-04-16,2025-05-01,2025-09-24,3627.0,NHAI,Completed,Completed,No,29.0,None,Complete,Complete,79.3,59.0
AH100578,Himachal Pradesh,Solan,Road Widening,9.53,3.0,Objection,2.0,0.0,20.1,0.0,26.0,67,2026-03-15,2026-06-04,2026-09-11,3387.0,NHAI,Not Required,Completed,No,18.0,None,Partial,Pending,58.16,95.0
AH100579,Rajasthan,Jodhpur,Highway,33.79,13.0,Award,1.0,0.0,40.6,2.0,26.0,79,2024-04-01,2024-08-03,2024-11-01,3030.0,NHAI,Pending,Completed,No,12.0,None,Complete,Complete,134.78,55.0
AH100580,Rajasthan,Udaipur,Highway,10.81,9.0,Compensation,1.0,0.0,77.0,2.0,56.0,93,2024-03-24,2024-11-22,2025-05-15,3721.0,NHAI,Completed,Completed,No,16.0,High,Complete,Complete,6.56,66.0
AH100581,Punjab,Amritsar,Highway,8.73,4.0,Award,0.0,0.0,61.8,3.0,32.0,69,2026-01-20,2025-10-03,2026-02-18,2615.0,State PWD,Completed,Pending,No,22.0,Low,Pending,Partial,164.25,119.0
AH100582,Rajasthan,Jaipur,Railway,36.55,14.0,Objection,4.0,0.0,17.0,1.0,27.0,100,2024-04-06,2024-01-19,2024-07-03,4645.0,NHAI,Not Required,Completed,Yes,22.0,Low,Complete,Complete,90.75,127.0
AH100583,Rajasthan,Kota,Highway,11.04,6.0,Compensation,0.0,0.0,82.6,1.0,65.0,89,2024-02-16,2025-03-26,2025-05-08,4437.0,District Administration,Not Required,Not Required,No,13.0,High,Pending,Complete,108.39,161.0
