state,district,project_type,land_area_acres,number_of_landowners,acquisition_stage,number_of_objections,number_of_court_cases,compensation_completed_pct,pending_approvals,days_in_current_stage,approximate_delay_days,sanction_amount_lakh,land_acquisition_agency,environmental_clearance,forest_clearance,relocation_required,structures_affected,dispute_severity,payment_status,document_verification_status,project_length_km,last_review_days_ago
Haryana,Hisar,Highway,17.34,8.0,Compensation,0.0,0.0,72.3,1.0,89.0,90,1260.0,District Administration,Not Required,Not Required,No,4.0,High,Complete,Complete,42.46,125.0
Madhya Pradesh,Bhopal,Highway,13.31,4.0,Award,1.0,1.0,38.8,2.0,88.0,122,3885.0,Special LA Unit,Completed,Completed,No,0.0,None,Complete,Complete,137.02,47.0
Uttar Pradesh,Varanasi,Bridge,24.03,10.0,Objection,2.0,0.0,19.7,2.0,18.0,77,1107.0,District Administration,Not Required,Not Required,No,26.0,Medium,Complete,Complete,139.18,12.0
Himachal Pradesh,Kangra,Road Widening,3.6,3.0,Objection,1.0,1.0,,2.0,29.0,89,3716.0,Special LA Unit,Completed,Pending,No,14.0,None,Complete,Complete,114.55,11.0
Uttarakhand,Nainital,Bypass,16.99,11.0,Notification,1.0,0.0,5.4,3.0,19.0,84,841.0,Special LA Unit,Completed,Completed,No,15.0,None,Complete,Complete,2.09,20.0
Madhya Pradesh,Bhopal,Highway,68.28,28.0,Compensation,5.0,2.0,72.3,0.0,35.0,155,1557.0,Special LA Unit,Pending,Not Required,No,10.0,Low,Complete,Partial,14.24,129.0
Madhya Pradesh,Bhopal,Railway,12.44,4.0,Objection,1.0,0.0,27.7,2.0,45.0,60,2378.0,State PWD,Completed,Completed,No,16.0,None,Complete,Complete,50.99,114.0
Punjab,Firozpur,Highway,12.87,6.0,Award,1.0,0.0,40.8,1.0,70.0,92,2466.0,Special LA Unit,Pending,Completed,No,14.0,Medium,Complete,Complete,112.25,12.0
Punjab,Hoshiarpur,Road Widening,18.57,7.0,Possession,1.0,0.0,92.5,0.0,65.0,70,200.0,Special LA Unit,Completed,Not Required,Yes,13.0,None,Complete,Complete,26.64,45.0
Haryana,Sirsa,Highway,7.51,3.0,Possession,0.0,0.0,95.0,0.0,18.0,18,4230.0,State PWD,Pending,Completed,No,15.0,None,Complete,Complete,14.82,39.0
Madhya Pradesh,Bhopal,Road Widening,5.34,5.0,Compensation,1.0,0.0,67.8,3.0,74.0,74,79.0,NHAI,Completed,Not Required,No,7.0,Low,Pending,Complete,14.08,64.0
Uttarakhand,Udham Singh Nagar,Highway,12.54,6.0,Compensation,1.0,0.0,70.8,0.0,22.0,40,4406.0,Special LA Unit,Completed,Not Required,No,23.0,Medium,Complete,Complete,126.85,10.0
Uttarakhand,Udham Singh Nagar,Highway,2.93,1.0,Possession,0.0,0.0,91.0,1.0,80.0,61,1070.0,District Administration,Pending,Completed,No,0.0,None,Complete,Complete,137.25,147.0
Uttarakhand,Nainital,Bypass,16.72,8.0,Compensation,0.0,0.0,69.4,2.0,44.0,75,3567.0,State PWD,Pending,Pending,No,19.0,Low,Complete,Complete,61.16,164.0
Rajasthan,,Highway,19.3,5.0,Award,1.0,0.0,23.2,3.0,30.0,73,3571.0,District Administration,Pending,Completed,No,4.0,None,Pending,Complete,149.11,25.0
Haryana,Ambala,Highway,3.05,2.0,Notification,1.0,0.0,13.0,4.0,86.0,91,2309.0,NHAI,Pending,Not Required,No,15.0,Medium,Complete,Complete,107.55,60.0
Uttarakhand,Udham Singh Nagar,Bridge,13.72,9.0,Objection,4.0,1.0,18.5,1.0,66.0,137,2709.0,Special LA Unit,Pending,Completed,No,19.0,Low,Complete,Partial,31.91,28.0
Himachal Pradesh,Solan,Highway,9.93,7.0,Award,2.0,0.0,40.2,,48.0,67,412.0,NHAI,Not Required,Completed,Yes,15.0,High,Complete,Complete,106.23,159.0
Haryana,Ambala,Road Widening,41.94,19.0,Objection,2.0,1.0,15.6,3.0,72.0,120,4509.0,State PWD,Completed,Not Required,No,30.0,Low,Partial,Pending,19.7,48.0
Madhya Pradesh,Bhopal,Bypass,36.36,12.0,Objection,2.0,0.0,10.2,1.0,37.0,102,640.0,District Administration,Completed,Completed,No,29.0,Low,Complete,Complete,150.1,96.0
Haryana,Karnal,Railway,24.42,8.0,Notification,0.0,0.0,8.0,3.0,25.0,77,3308.0,District Administration,Pending,Not Required,No,29.0,None,Pending,Pending,84.27,99.0
Uttar Pradesh,Prayagraj,Highway,33.42,12.0,Compensation,1.0,0.0,60.5,0.0,56.0,87,51.0,NHAI,Completed,Completed,Yes,9.0,None,Complete,Complete,152.04,96.0
Rajasthan,Kota,Road Widening,8.75,4.0,Award,0.0,0.0,33.3,3.0,112.0,107,3741.0,District Administration,Not Required,Not Required,No,30.0,None,Complete,Partial,147.16,91.0
Uttarakhand,Haridwar,Road Widening,14.89,5.0,Objection,1.0,0.0,18.2,1.0,25.0,76,1828.0,NHAI,Not Required,Pending,No,5.0,None,Partial,Partial,52.97,17.0
Himachal Pradesh,Shimla,Highway,9.64,2.0,Compensation,1.0,0.0,71.4,2.0,49.0,96,2434.0,Special LA Unit,Not Required,Pending,No,11.0,None,Complete,Partial,173.16,131.0
Punjab,Jalandhar,Railway,5.12,5.0,Objection,1.0,0.0,20.1,3.0,24.0,76,165.0,State PWD,Completed,Completed,No,9.0,High,Partial,Complete,41.59,3.0
Uttarakhand,Haridwar,Bridge,12.81,7.0,Award,1.0,0.0,36.9,0.0,93.0,95,1133.0,State PWD,Pending,Not Required,Yes,6.0,Medium,Partial,Complete,101.23,37.0
Rajasthan,Kota,Highway,11.13,4.0,Objection,1.0,0.0,19.8,4.0,54.0,118,2203.0,District Administration,Completed,Pending,No,24.0,None,Partial,Complete,143.44,108.0
Himachal Pradesh,Mandi,Highway,10.05,6.0,Compensation,0.0,0.0,62.5,0.0,207.0,164,3602.0,NHAI,Completed,Not Required,No,23.0,None,Complete,Complete,74.95,87.0
Haryana,Karnal,Railway,11.35,7.0,Possession,0.0,0.0,97.5,0.0,44.0,39,3007.0,NHAI,Pending,Not Required,No,9.0,None,Complete,Complete,101.31,40.0
Madhya Pradesh,Ujjain,Highway,12.57,1.0,Notification,0.0,0.0,12.8,1.0,28.0,58,1339.0,Special LA Unit,Pending,Not Required,No,21.0,High,Partial,Complete,4.54,129.0
Himachal Pradesh,Sirmaur,Railway,25.4,12.0,Compensation,2.0,0.0,58.7,2.0,88.0,140,2999.0,District Administration,Completed,Completed,No,20.0,None,Partial,Pending,160.39,34.0
Punjab,Jalandhar,Highway,7.27,4.0,Possession,1.0,0.0,91.2,0.0,19.0,45,1154.0,NHAI,Not Required,Not Required,No,29.0,High,Complete,Complete,49.84,54.0
Punjab,Bathinda,Highway,4.02,1.0,Possession,1.0,0.0,89.9,0.0,48.0,42,2798.0,District Administration,Not Required,Not Required,No,11.0,None,Complete,Partial,134.32,97.0
Uttar Pradesh,Meerut,Railway,21.25,,Compensation,1.0,0.0,64.8,0.0,114.0,121,2725.0,Special LA Unit,Completed,Not Required,No,5.0,Low,Partial,Complete,35.81,95.0
Himachal Pradesh,Solan,Bridge,24.73,10.0,Compensation,0.0,0.0,78.7,2.0,55.0,90,1169.0,Special LA Unit,Completed,Not Required,No,12.0,Medium,Complete,Partial,16.37,54.0
Haryana,Hisar,Highway,16.19,4.0,Notification,0.0,0.0,17.0,3.0,33.0,71,1041.0,State PWD,Not Required,Completed,No,1.0,Low,Complete,Complete,120.23,36.0
Haryana,Hisar,Bypass,4.54,4.0,Notification,0.0,0.0,7.1,4.0,66.0,110,2619.0,District Administration,Completed,Completed,Yes,23.0,None,Complete,Complete,138.29,94.0
Punjab,Bathinda,Highway,10.68,5.0,Objection,1.0,1.0,37.9,1.0,89.0,110,2955.0,Special LA Unit,Completed,Completed,No,30.0,High,Complete,Complete,81.73,2.0
Uttarakhand,Dehradun,Highway,15.22,8.0,Award,0.0,1.0,65.5,2.0,130.0,159,4900.0,State PWD,Completed,Not Required,No,5.0,Medium,Partial,Partial,35.43,106.0
Uttar Pradesh,Lucknow,Road Widening,4.82,1.0,Possession,0.0,0.0,89.3,0.0,61.0,40,2502.0,Special LA Unit,Not Required,Completed,Yes,27.0,None,Complete,Partial,54.04,77.0
Madhya Pradesh,Gwalior,Highway,6.24,3.0,Notification,0.0,0.0,2.4,4.0,22.0,94,2250.0,Special LA Unit,Pending,Not Required,No,19.0,None,Complete,Partial,3.08,14.0
Madhya Pradesh,Indore,Railway,10.54,3.0,Award,2.0,1.0,59.1,0.0,107.0,105,2405.0,State PWD,Pending,Completed,No,20.0,Low,Complete,Complete,100.98,39.0
Himachal Pradesh,Solan,Highway,32.64,13.0,Possession,2.0,0.0,91.6,0.0,101.0,97,4378.0,Special LA Unit,Not Required,Pending,Yes,17.0,Low,Complete,Partial,164.49,179.0
Punjab,Jalandhar,Highway,14.46,3.0,Notification,0.0,0.0,11.9,3.0,8.0,33,1569.0,NHAI,Pending,Completed,No,4.0,None,Complete,Complete,15.51,50.0
Madhya Pradesh,Jabalpur,Highway,7.34,2.0,Notification,0.0,0.0,,1.0,13.0,68,1937.0,State PWD,Pending,Completed,No,24.0,Medium,Partial,Partial,174.21,4.0
Punjab,Firozpur,Bypass,10.06,8.0,Objection,2.0,0.0,8.3,2.0,29.0,93,1875.0,State PWD,Completed,Pending,No,7.0,None,Complete,Partial,170.98,12.0
Punjab,Amritsar,Bridge,6.78,6.0,Objection,1.0,0.0,20.1,0.0,26.0,54,3134.0,NHAI,Completed,Pending,No,28.0,None,Complete,Pending,56.81,29.0
Madhya Pradesh,Jabalpur,Highway,8.41,6.0,Award,1.0,0.0,62.2,1.0,72.0,108,3512.0,District Administration,Completed,Pending,No,26.0,None,Complete,Partial,2.52,56.0
Madhya Pradesh,Bhopal,Highway,22.06,12.0,Award,1.0,0.0,37.8,3.0,28.0,76,2435.0,District Administration,Completed,Not Required,No,4.0,None,Partial,Partial,177.65,148.0
Himachal Pradesh,Kangra,Bridge,2.33,1.0,Compensation,0.0,0.0,62.6,1.0,39.0,35,1356.0,State PWD,Completed,Completed,No,13.0,None,Complete,Complete,35.89,136.0
Haryana,Ambala,Highway,36.51,14.0,Notification,0.0,0.0,15.9,2.0,47.0,84,3458.0,Special LA Unit,Completed,Pending,No,7.0,High,Complete,Complete,154.79,7.0
Uttar Pradesh,Kanpur Nagar,Bypass,76.77,,Compensation,0.0,0.0,73.7,1.0,95.0,140,1413.0,NHAI,Completed,Completed,No,26.0,None,Complete,Complete,163.87,69.0
Punjab,Patiala,Road Widening,13.71,5.0,Objection,1.0,0.0,13.6,3.0,44.0,74,4492.0,Special LA Unit,Completed,Completed,No,4.0,Low,Complete,Complete,15.74,124.0
Uttarakhand,Haridwar,Bypass,5.89,1.0,Award,0.0,0.0,58.3,3.0,55.0,69,3139.0,District Administration,Completed,Not Required,No,6.0,High,Complete,Complete,162.31,102.0
Haryana,Panipat,Highway,32.1,14.0,Notification,1.0,0.0,12.4,3.0,34.0,92,,Special LA Unit,Completed,Not Required,Yes,30.0,High,Complete,Partial,179.57,158.0
Punjab,Firozpur,Highway,15.12,8.0,Compensation,0.0,0.0,65.0,0.0,75.0,82,1204.0,NHAI,Pending,Completed,No,22.0,Medium,Partial,Complete,102.47,115.0
Himachal Pradesh,Solan,Highway,7.64,3.0,Compensation,1.0,0.0,83.2,2.0,,96,3799.0,Special LA Unit,,Completed,No,18.0,Low,Partial,Complete,57.05,101.0
Madhya Pradesh,Indore,Highway,5.23,5.0,Objection,1.0,0.0,27.9,2.0,30.0,80,3068.0,NHAI,Pending,Not Required,No,2.0,None,Partial,Complete,75.02,132.0
Madhya Pradesh,Jabalpur,Highway,8.46,4.0,Compensation,0.0,1.0,89.1,1.0,43.0,64,4418.0,District Administration,Completed,Not Required,No,29.0,None,Complete,Complete,179.87,112.0
Uttar Pradesh,Prayagraj,Bridge,14.07,7.0,Award,3.0,0.0,28.7,1.0,36.0,79,3548.0,Special LA Unit,Pending,Completed,Yes,5.0,None,Complete,Complete,117.65,13.0
Uttarakhand,Dehradun,Highway,25.56,9.0,Compensation,1.0,1.0,87.8,3.0,107.0,140,3958.0,NHAI,Pending,Not Required,No,29.0,None,Pending,Complete,155.02,151.0
Madhya Pradesh,Gwalior,,15.2,7.0,Possession,0.0,0.0,98.8,1.0,78.0,82,506.0,NHAI,Completed,Completed,No,17.0,None,Partial,Complete,128.56,50.0
Madhya Pradesh,Indore,Highway,17.57,8.0,Notification,1.0,0.0,11.3,2.0,23.0,68,171.0,NHAI,Completed,Completed,No,28.0,Medium,Partial,Partial,66.97,26.0
Uttarakhand,Dehradun,Highway,8.99,,Award,0.0,0.0,41.4,2.0,51.0,67,3309.0,NHAI,Completed,Completed,No,14.0,High,Partial,Complete,114.25,161.0
Madhya Pradesh,Gwalior,Road Widening,24.7,5.0,Objection,2.0,0.0,22.5,3.0,35.0,105,50.0,NHAI,Completed,Pending,Yes,8.0,Low,Complete,Complete,16.43,135.0
Haryana,Rohtak,Highway,10.02,5.0,Compensation,0.0,0.0,72.0,0.0,86.0,72,4460.0,Special LA Unit,Completed,Pending,No,3.0,Low,Complete,Complete,134.31,10.0
Haryana,Karnal,Railway,56.96,,Notification,0.0,0.0,7.0,4.0,25.0,113,4420.0,NHAI,Completed,Pending,No,15.0,None,Complete,Pending,57.51,93.0
Uttar Pradesh,Lucknow,Bypass,6.86,2.0,Compensation,0.0,0.0,56.9,2.0,51.0,90,2946.0,Special LA Unit,Completed,Completed,No,18.0,None,Pending,Pending,61.67,178.0
Rajasthan,Jodhpur,Highway,16.71,8.0,Possession,1.0,0.0,97.9,0.0,53.0,37,3660.0,NHAI,Completed,Completed,No,7.0,Medium,Complete,Complete,151.6,33.0
Punjab,Patiala,Railway,76.78,29.0,Award,2.0,1.0,30.6,3.0,131.0,201,2138.0,District Administration,Completed,Pending,No,10.0,None,Partial,Partial,63.5,60.0
Rajasthan,Jodhpur,Highway,28.95,12.0,Compensation,2.0,1.0,56.2,1.0,39.0,93,4792.0,State PWD,Not Required,Pending,No,13.0,Low,Complete,Complete,49.1,133.0
Madhya Pradesh,Ujjain,Highway,22.5,9.0,Notification,0.0,0.0,11.5,1.0,48.0,65,228.0,District Administration,Completed,Completed,No,3.0,None,Complete,Partial,19.09,158.0
Uttarakhand,Dehradun,Bridge,15.37,4.0,Possession,0.0,0.0,91.5,0.0,56.0,48,1497.0,Special LA Unit,Pending,Pending,Yes,13.0,Medium,Partial,Complete,22.27,48.0
Rajasthan,Jodhpur,Bypass,12.49,3.0,Compensation,0.0,0.0,69.0,0.0,44.0,65,3503.0,NHAI,Completed,Completed,No,10.0,Low,Pending,Complete,156.62,50.0
Uttarakhand,Udham Singh Nagar,Highway,10.3,6.0,Award,1.0,0.0,55.3,3.0,46.0,74,3950.0,NHAI,Pending,Not Required,No,28.0,None,Complete,Partial,98.57,12.0
Punjab,Firozpur,Highway,7.41,2.0,Notification,0.0,0.0,9.0,3.0,56.0,87,1249.0,NHAI,Pending,Not Required,No,8.0,Medium,Complete,Complete,165.38,116.0
Uttarakhand,Haridwar,Highway,3.24,1.0,Award,0.0,0.0,47.3,1.0,59.0,79,4017.0,Special LA Unit,Pending,Completed,Yes,21.0,Medium,Complete,Complete,171.93,146.0
Madhya Pradesh,Gwalior,Road Widening,20.58,10.0,Compensation,0.0,0.0,81.0,1.0,117.0,112,2330.0,District Administration,Pending,Not Required,No,23.0,None,Complete,Complete,47.41,154.0
Rajasthan,Udaipur,Railway,3.23,1.0,Notification,0.0,0.0,8.7,1.0,12.0,55,4293.0,Special LA Unit,Pending,Completed,No,22.0,None,Partial,Complete,155.65,105.0
Himachal Pradesh,Kangra,Highway,20.77,6.0,Possession,0.0,0.0,94.2,0.0,31.0,37,1371.0,Special LA Unit,Pending,Completed,No,13.0,None,Complete,Pending,81.68,169.0
Madhya Pradesh,Ujjain,Bridge,9.18,6.0,Compensation,0.0,0.0,72.2,1.0,99.0,109,3475.0,NHAI,Completed,Not Required,No,22.0,None,Pending,Complete,123.89,121.0
Punjab,Moga,Railway,5.3,3.0,Possession,0.0,0.0,88.8,1.0,72.0,56,1077.0,NHAI,Completed,Not Required,No,14.0,Low,Pending,Complete,109.67,130.0
Uttar Pradesh,Meerut,Highway,39.44,12.0,Objection,2.0,0.0,11.0,1.0,32.0,79,734.0,NHAI,Not Required,Completed,No,16.0,None,Complete,Partial,55.87,107.0
Uttar Pradesh,Agra,Bypass,3.48,2.0,Award,0.0,0.0,49.7,2.0,29.0,66,3541.0,NHAI,Completed,Completed,No,16.0,None,Complete,Complete,27.27,60.0
Punjab,Hoshiarpur,Railway,6.78,4.0,Objection,1.0,0.0,18.5,5.0,42.0,109,3420.0,State PWD,Completed,Not Required,Yes,10.0,None,Partial,Complete,75.21,6.0
Himachal Pradesh,Solan,Highway,7.34,2.0,Objection,2.0,0.0,32.2,1.0,31.0,74,1502.0,NHAI,Not Required,Completed,No,10.0,Low,Partial,Pending,36.83,68.0
Himachal Pradesh,Sirmaur,Road Widening,13.56,3.0,Notification,0.0,0.0,5.7,0.0,30.0,71,3042.0,Special LA Unit,Not Required,Not Required,No,26.0,None,Partial,Complete,21.05,33.0
Punjab,Amritsar,Bypass,7.09,1.0,Notification,0.0,0.0,4.1,0.0,41.0,59,4710.0,State PWD,Completed,Completed,No,3.0,High,Partial,Pending,69.47,115.0
Uttar Pradesh,Prayagraj,Bridge,41.37,18.0,Compensation,0.0,0.0,67.7,2.0,117.0,136,1701.0,District Administration,Completed,Not Required,No,10.0,Medium,Partial,Complete,12.43,114.0
Himachal Pradesh,Shimla,Highway,3.72,4.0,Notification,0.0,0.0,10.2,2.0,28.0,74,2533.0,Special LA Unit,Completed,Completed,No,14.0,None,Pending,Complete,32.75,18.0
Uttarakhand,Nainital,Road Widening,384.75,118.0,Notification,2.0,0.0,7.5,0.0,18.0,247,1082.0,NHAI,Completed,Not Required,No,16.0,Low,Complete,Complete,22.98,127.0
Uttar Pradesh,Kanpur Nagar,Bypass,4.86,5.0,Award,,0.0,53.1,3.0,191.0,172,2614.0,State PWD,Not Required,Not Required,No,5.0,None,Partial,Complete,125.71,62.0
Rajasthan,Kota,Bridge,147.3,57.0,Compensation,0.0,0.0,70.8,2.0,37.0,158,4431.0,District Administration,Completed,Not Required,Yes,4.0,None,Pending,Complete,17.05,53.0
Himachal Pradesh,Shimla,Highway,30.24,9.0,Compensation,0.0,0.0,83.1,0.0,15.0,56,3197.0,Special LA Unit,Completed,Completed,No,20.0,Low,Partial,Complete,39.56,134.0
Uttar Pradesh,Meerut,Road Widening,10.87,7.0,Compensation,0.0,0.0,70.0,1.0,51.0,67,752.0,Special LA Unit,Not Required,Completed,No,18.0,None,Complete,Complete,169.07,37.0
Punjab,Hoshiarpur,Bypass,14.48,7.0,Objection,2.0,0.0,23.1,3.0,88.0,123,3715.0,NHAI,Completed,Completed,No,5.0,Medium,Complete,Partial,64.32,82.0
Rajasthan,Ajmer,Highway,8.65,8.0,Compensation,0.0,0.0,77.5,0.0,71.0,90,2139.0,State PWD,Not Required,Not Required,No,14.0,Low,Partial,Complete,166.03,56.0
Uttar Pradesh,Varanasi,Highway,16.04,13.0,Compensation,2.0,0.0,90.2,0.0,99.0,98,140.0,Special LA Unit,Completed,Completed,No,21.0,None,Complete,Complete,42.07,125.0
Uttar Pradesh,Meerut,Road Widening,6.38,3.0,Objection,3.0,0.0,20.5,3.0,62.0,103,3132.0,District Administration,Completed,Pending,No,27.0,None,Complete,Partial,82.56,56.0
Uttar Pradesh,Meerut,Road Widening,21.82,9.0,Notification,0.0,0.0,7.0,3.0,32.0,54,1530.0,NHAI,Not Required,Completed,No,0.0,Medium,Complete,Complete,115.36,124.0
Uttarakhand,Dehradun,Railway,13.94,6.0,Possession,2.0,0.0,93.2,0.0,118.0,107,4860.0,State PWD,Completed,Not Required,Yes,9.0,None,Pending,Partial,79.99,104.0
Himachal Pradesh,Shimla,Highway,5.15,3.0,Notification,0.0,0.0,15.1,6.0,8.0,97,4976.0,Special LA Unit,Pending,Not Required,Yes,23.0,None,Complete,Partial,25.88,151.0
Himachal Pradesh,Sirmaur,Railway,17.17,8.0,Objection,,0.0,22.8,3.0,52.0,113,3371.0,NHAI,Completed,Completed,Yes,9.0,None,Partial,Complete,4.44,134.0
Punjab,Moga,Highway,16.29,12.0,Objection,1.0,0.0,20.9,2.0,82.0,89,3175.0,State PWD,Pending,Pending,No,4.0,Medium,Partial,Complete,93.5,75.0
Uttar Pradesh,Meerut,Bypass,6.49,4.0,Possession,0.0,0.0,93.9,1.0,33.0,43,1559.0,Special LA Unit,Completed,Completed,Yes,3.0,None,Partial,Partial,42.1,128.0
Himachal Pradesh,Kangra,Highway,8.3,3.0,Award,0.0,0.0,36.1,1.0,14.0,59,400.0,District Administration,Not Required,Not Required,No,19.0,Low,Partial,Partial,171.05,83.0
Haryana,Panipat,Highway,18.46,8.0,Possession,0.0,0.0,83.3,0.0,50.0,49,350.0,NHAI,Not Required,Not Required,Yes,14.0,High,Partial,Partial,41.19,31.0
Haryana,Sirsa,Bridge,30.18,11.0,Compensation,2.0,1.0,72.0,0.0,84.0,123,2345.0,State PWD,Completed,Completed,No,7.0,None,Partial,Pending,32.03,168.0
Uttarakhand,Haridwar,Railway,10.58,2.0,Compensation,0.0,0.0,67.5,0.0,59.0,58,1622.0,Special LA Unit,Completed,Completed,No,23.0,Low,Complete,Partial,27.99,154.0
Punjab,Firozpur,Highway,26.34,10.0,Notification,1.0,0.0,21.3,1.0,37.0,81,4804.0,State PWD,Pending,Pending,No,5.0,None,Complete,Complete,120.43,86.0
Himachal Pradesh,Shimla,Highway,32.2,17.0,Award,3.0,1.0,39.2,3.0,100.0,166,1499.0,District Administration,Not Required,Not Required,Yes,20.0,None,Partial,Complete,76.75,109.0
Uttarakhand,Udham Singh Nagar,Road Widening,36.15,16.0,Compensation,3.0,0.0,67.2,1.0,55.0,117,1112.0,State PWD,Completed,Not Required,No,28.0,None,Partial,Complete,25.85,98.0
Uttarakhand,Dehradun,Bridge,17.02,,Possession,0.0,1.0,90.9,0.0,44.0,40,4104.0,NHAI,Not Required,Completed,No,2.0,None,Partial,Complete,14.58,47.0
Punjab,Firozpur,Highway,5.55,4.0,Possession,0.0,0.0,85.7,0.0,17.0,29,4186.0,State PWD,Not Required,Completed,No,14.0,None,Partial,Complete,144.33,57.0
Uttar Pradesh,Agra,Bridge,25.47,15.0,Possession,2.0,0.0,88.0,0.0,49.0,64,1914.0,District Administration,Pending,Completed,No,9.0,Medium,Partial,Partial,73.33,99.0
Madhya Pradesh,Indore,Highway,10.15,5.0,Compensation,0.0,0.0,76.4,0.0,90.0,92,454.0,Special LA Unit,Completed,Completed,No,24.0,None,Partial,Complete,89.34,101.0
Uttarakhand,Dehradun,Railway,18.37,6.0,Award,0.0,0.0,51.9,2.0,34.0,59,537.0,NHAI,Completed,Not Required,No,10.0,None,Complete,Complete,46.76,37.0
Rajasthan,Kota,Highway,7.0,4.0,Award,1.0,0.0,61.9,3.0,84.0,110,2628.0,Special LA Unit,Pending,Not Required,No,23.0,Medium,Complete,Complete,34.95,54.0
Madhya Pradesh,Ujjain,Highway,7.17,5.0,Award,1.0,0.0,61.3,2.0,70.0,114,4356.0,NHAI,Pending,Completed,No,18.0,High,Complete,Complete,15.35,57.0
Punjab,Ludhiana,Bridge,6.58,4.0,Notification,0.0,0.0,20.9,6.0,41.0,92,1964.0,District Administration,Completed,Completed,No,24.0,None,Partial,Complete,3.68,51.0
Himachal Pradesh,Shimla,Highway,3.87,5.0,Objection,,0.0,21.6,2.0,4.0,84,139.0,State PWD,Pending,Pending,No,24.0,None,Complete,Complete,114.16,128.0
Haryana,Rohtak,Bridge,7.25,4.0,Notification,1.0,0.0,10.5,2.0,26.0,54,1906.0,State PWD,Not Required,Completed,No,21.0,Medium,Pending,Pending,31.18,90.0
Madhya Pradesh,Gwalior,Highway,4.96,1.0,Notification,0.0,1.0,9.8,0.0,25.0,66,64.0,Special LA Unit,Completed,Not Required,No,30.0,None,Complete,Complete,141.68,35.0
Haryana,Sirsa,Highway,19.32,9.0,Objection,2.0,0.0,12.5,2.0,,89,2146.0,District Administration,,Pending,No,25.0,Low,Partial,Partial,3.05,147.0
Uttarakhand,Udham Singh Nagar,Bridge,4.83,4.0,Compensation,0.0,0.0,73.9,1.0,89.0,112,2400.0,Special LA Unit,,Pending,No,7.0,None,Pending,Partial,36.81,115.0
Haryana,Rohtak,Road Widening,6.76,4.0,Compensation,1.0,0.0,70.9,0.0,27.0,67,3667.0,NHAI,Completed,Completed,No,3.0,Medium,Pending,Complete,122.82,180.0
Rajasthan,Ajmer,Highway,11.97,4.0,Compensation,0.0,0.0,89.2,2.0,35.0,86,392.0,State PWD,Completed,Pending,No,5.0,Medium,Pending,Complete,129.42,121.0
Haryana,Panipat,Road Widening,55.73,25.0,Compensation,0.0,0.0,85.0,0.0,113.0,133,2429.0,NHAI,Completed,Pending,No,13.0,Medium,Partial,Partial,40.98,48.0
Madhya Pradesh,Jabalpur,Highway,6.63,2.0,Award,0.0,0.0,38.5,2.0,34.0,79,926.0,State PWD,Pending,Pending,No,13.0,High,Complete,Partial,24.49,175.0
Uttarakhand,Udham Singh Nagar,Bypass,3.69,1.0,Award,0.0,0.0,57.4,3.0,69.0,133,2358.0,State PWD,Pending,Pending,No,23.0,Medium,Complete,Complete,167.74,162.0
Himachal Pradesh,Sirmaur,Highway,3.92,2.0,Award,0.0,0.0,61.3,4.0,41.0,89,4927.0,Special LA Unit,Completed,Not Required,Yes,20.0,None,Complete,Complete,97.05,167.0
Himachal Pradesh,Sirmaur,Road Widening,5.75,6.0,Notification,0.0,0.0,6.7,0.0,11.0,44,3718.0,NHAI,Completed,Completed,No,4.0,Low,Complete,Complete,22.86,74.0
Uttarakhand,Haridwar,Highway,6.83,6.0,Compensation,2.0,0.0,67.6,3.0,137.0,147,4229.0,District Administration,,Completed,No,22.0,High,Pending,Partial,71.99,108.0
Madhya Pradesh,Gwalior,Railway,84.68,33.0,Compensation,5.0,1.0,71.4,4.0,30.0,164,241.0,Special LA Unit,Completed,Completed,No,18.0,None,Pending,Complete,151.43,5.0
Haryana,Rohtak,Bridge,27.16,13.0,Objection,2.0,0.0,8.7,1.0,35.0,71,3831.0,NHAI,Not Required,Not Required,No,25.0,None,Complete,Complete,65.74,120.0
Uttar Pradesh,Prayagraj,,9.14,2.0,Possession,0.0,0.0,,0.0,131.0,79,4336.0,State PWD,Pending,Completed,No,13.0,Medium,Partial,Complete,31.54,72.0
Himachal Pradesh,Kangra,Highway,57.68,19.0,Objection,1.0,0.0,22.8,4.0,64.0,138,3370.0,State PWD,Not Required,Pending,Yes,9.0,Low,Partial,Complete,68.24,170.0
Punjab,Ludhiana,Highway,7.09,3.0,Award,0.0,0.0,43.5,1.0,33.0,66,3921.0,NHAI,Pending,Completed,Yes,8.0,None,Complete,Pending,162.37,42.0
Punjab,Firozpur,,8.42,6.0,Possession,1.0,0.0,88.7,0.0,34.0,32,286.0,State PWD,Not Required,Not Required,Yes,26.0,None,Partial,Pending,130.24,71.0
Madhya Pradesh,Bhopal,Bypass,8.0,6.0,Compensation,0.0,0.0,67.7,1.0,64.0,113,3706.0,State PWD,Pending,Pending,No,7.0,Medium,Pending,Complete,94.22,136.0
Madhya Pradesh,Ujjain,Highway,28.58,10.0,Compensation,0.0,0.0,80.6,2.0,66.0,78,4187.0,State PWD,Completed,Completed,No,20.0,None,Complete,Partial,177.22,177.0
Punjab,Amritsar,Road Widening,11.25,3.0,Compensation,0.0,0.0,88.0,1.0,123.0,100,1192.0,NHAI,Not Required,Completed,No,14.0,High,Complete,Complete,59.33,26.0
