Case ID,State,District,Project Type,Land Area (Acres),Number of Landowners,Acquisition Stage,Number of Objections,Number of Court Cases,Compensation Completed (%),Pending Approvals,Days in Current Stage,Approximate Delay Days,Notification_3A_Date,Sanction_Date,Notification_3D_Date,Sanction_Amount_Lakh,Land_Acquisition_Agency,Environmental_Clearance,Forest_Clearance,Relocation_Required,Structures_Affected,Dispute_Severity,Payment_Status,Document_Verification_Status,Project_Length_Km,Last_Review_Days_Ago
AH102654,Punjab,Hoshiarpur,Highway,11.62,7.0,Award,1.0,0.0,34.6,1.0,32.0,65,04-02-2026,14-04-2025,18-07-2025,961.0,NHAI,Completed,Not Required,No,1,None,Complete,Complete,148.31,175
AH102655,Haryana,Sirsa,Railway,16.28,6.0,Notification,0.0,0.0,17.3,0.0,16.0,58,23-05-2025,11-05-2026,13-09-2026,2230.0,Special LA Unit,Pending,Pending,No,11,None,Complete,Complete,29.49,156
AH102656,Rajasthan,Kota,Road Widening,3.81,8.0,Compensation,1.0,0.0,73.2,0.0,48.0,52,22-02-2024,29-03-2025,29-05-2025,4050.0,District Administration,Completed,Completed,No,12,Low,Complete,Pending,124.3,14
AH102657,Uttar Pradesh,Varanasi,Highway,17.55,10.0,Award,1.0,0.0,43.0,4.0,92.0,123,31-08-2024,09-06-2024,30-07-2024,1894.0,District Administration,Completed,Completed,No,26,High,Complete,Complete,46.6,30
AH102658,Uttarakhand,Nainital,Highway,14.95,7.0,Compensation,1.0,0.0,71.3,0.0,29.0,52,27-08-2025,13-10-2025,27-11-2025,4674.0,NHAI,Completed,Pending,Yes,19,None,Pending,Pending,33.86,77
AH102659,Uttar Pradesh,Agra,Highway,17.04,,Compensation,1.0,0.0,84.6,2.0,103.0,117,24-05-2024,05-05-2026,18-06-2026,280.0,State PWD,Pending,Completed,No,28,None,Complete,Partial,106.82,73
AH102660,Haryana,Karnal,Highway,13.37,7.0,Compensation,1.0,0.0,57.4,2.0,105.0,115,26-01-2025,15-01-2024,24-02-2024,465.0,District Administration,Not Required,Completed,Yes,26,None,Complete,Complete,52.64,158
AH102661,Punjab,Patiala,Highway,16.24,8.0,Objection,1.0,0.0,32.6,2.0,51.0,84,28-11-2025,27-02-2024,05-05-2024,886.0,State PWD,Not Required,Completed,Yes,6,None,Partial,Complete,146.2,132
AH102662,Uttar Pradesh,,Highway,8.39,4.0,Possession,0.0,0.0,86.7,0.0,57.0,60,14-05-2024,18-08-2025,15-01-2026,1256.0,Special LA Unit,Completed,Completed,No,18,Low,Complete,Pending,13.01,86
AH102663,Haryana,Ambala,Railway,17.41,12.0,Award,1.0,0.0,58.6,4.0,29.0,81,22-03-2025,15-05-2025,13-09-2025,2156.0,Special LA Unit,Pending,Pending,Yes,2,None,Complete,Complete,90.51,36
AH102664,Uttar Pradesh,Prayagraj,Highway,31.59,11.0,Possession,0.0,0.0,88.6,0.0,18.0,30,12-07-2024,08-05-2025,14-07-2025,4573.0,NHAI,Pending,Pending,No,20,None,Complete,Complete,137.67,112
AH102665,Haryana,Karnal,Highway,7.84,3.0,Compensation,0.0,0.0,94.5,0.0,19.0,47,27-04-2025,22-03-2024,07-09-2024,1246.0,Special LA Unit,Completed,Pending,No,1,None,Complete,Pending,94.47,53
AH102666,Uttar Pradesh,Prayagraj,Highway,8.08,4.0,Compensation,0.0,0.0,53.7,0.0,40.0,65,04-08-2024,29-05-2025,20-10-2025,1816.0,State PWD,Completed,Completed,Yes,19,None,Complete,Complete,150.54,96
AH102667,Himachal Pradesh,Kangra,Highway,20.41,10.0,Award,0.0,0.0,59.3,1.0,78.0,99,18-05-2026,26-05-2025,19-10-2025,269.0,District Administration,Pending,Completed,No,8,None,Partial,Partial,22.21,86
AH102668,Rajasthan,Alwar,Road Widening,7.46,8.0,Notification,0.0,0.0,8.7,1.0,26.0,68,10-03-2024,03-02-2026,17-07-2026,3587.0,State PWD,Not Required,Not Required,No,21,Medium,Pending,Complete,42.79,129
AH102669,Himachal Pradesh,Shimla,Road Widening,6.48,4.0,Objection,3.0,0.0,32.0,2.0,27.0,83,17-05-2026,17-12-2024,07-05-2025,2752.0,District Administration,Completed,Pending,No,5,Low,Complete,Complete,4.3,165
AH102670,Punjab,Bathinda,Road Widening,17.1,8.0,Compensation,2.0,0.0,92.1,1.0,53.0,79,13-12-2025,09-11-2024,01-05-2025,273.0,State PWD,Completed,Completed,No,8,Medium,Complete,Partial,154.91,127
AH102671,Punjab,Patiala,Highway,8.28,5.0,Objection,2.0,1.0,7.4,6.0,64.0,142,09-02-2026,14-03-2024,01-06-2024,2347.0,State PWD,Completed,Not Required,Yes,27,None,Complete,Partial,56.9,2
AH102672,Punjab,Hoshiarpur,Highway,33.73,13.0,Notification,1.0,0.0,9.0,2.0,40.0,85,05-02-2026,25-05-2025,30-10-2025,1131.0,District Administration,Completed,Completed,No,19,None,Pending,Pending,145.25,92
AH102673,Uttar Pradesh,Prayagraj,Highway,8.03,6.0,Award,1.0,0.0,45.9,3.0,81.0,113,17-06-2024,06-08-2025,21-09-2025,2135.0,NHAI,Completed,Completed,No,28,None,Complete,Pending,26.5,18
AH102674,Himachal Pradesh,Shimla,Railway,5.95,4.0,Notification,1.0,0.0,8.3,2.0,57.0,84,17-04-2026,09-09-2024,23-11-2024,1456.0,State PWD,Completed,Not Required,No,23,None,Partial,Complete,77.97,94
AH102675,Uttarakhand,Nainital,Highway,11.89,7.0,Objection,3.0,0.0,42.0,1.0,70.0,104,18-06-2025,20-10-2025,01-04-2026,3931.0,NHAI,Completed,Completed,No,13,None,Complete,Complete,57.19,162
AH102676,Himachal Pradesh,Solan,Bypass,17.29,7.0,Award,1.0,0.0,50.0,0.0,82.0,93,15-05-2026,24-04-2026,13-06-2026,334.0,NHAI,Not Required,Completed,No,11,None,Complete,Complete,110.99,116
AH102677,Himachal Pradesh,Mandi,Road Widening,15.68,6.0,Notification,0.0,0.0,7.0,1.0,40.0,56,01-03-2026,05-06-2024,18-09-2024,3017.0,District Administration,Completed,Not Required,No,10,Medium,Complete,Partial,154.97,58
AH102678,Uttarakhand,Nainital,Road Widening,18.88,7.0,Notification,1.0,0.0,7.2,3.0,31.0,82,05-06-2025,30-05-2025,19-08-2025,3976.0,State PWD,Pending,Completed,No,14,Low,Partial,Complete,109.85,118
AH102679,Madhya Pradesh,Jabalpur,Road Widening,7.46,4.0,Objection,2.0,,28.5,2.0,46.0,100,03-12-2024,16-09-2025,31-10-2025,57.0,District Administration,Pending,Pending,No,12,None,Complete,Complete,177.88,164
AH102680,Rajasthan,Jaipur,Bridge,31.35,14.0,Compensation,0.0,0.0,92.7,3.0,99.0,120,15-04-2024,17-01-2024,22-03-2024,4526.0,Special LA Unit,Pending,Completed,Yes,4,Low,Complete,Complete,40.63,110
AH102681,Rajasthan,Jodhpur,Highway,2.92,6.0,Possession,0.0,0.0,93.3,0.0,16.0,22,31-03-2024,10-06-2024,28-09-2024,3821.0,District Administration,Completed,Not Required,No,25,None,Complete,Partial,102.95,64
AH102682,Madhya Pradesh,Bhopal,Highway,6.15,4.0,Objection,1.0,0.0,31.2,2.0,15.0,55,16-12-2024,22-12-2024,25-04-2025,1432.0,State PWD,Not Required,Completed,No,7,None,Complete,Complete,43.96,4
AH102683,Punjab,Jalandhar,Bypass,12.34,9.0,Compensation,0.0,0.0,82.7,0.0,124.0,88,30-12-2025,03-05-2024,11-09-2024,2438.0,District Administration,Completed,Not Required,No,4,Medium,Partial,Complete,22.14,59
AH102684,Haryana,Hisar,Road Widening,6.6,5.0,Objection,2.0,0.0,,5.0,33.0,123,30-03-2025,15-11-2024,03-01-2025,3420.0,Special LA Unit,Completed,Completed,No,5,Low,Complete,Complete,78.31,176
AH102685,Haryana,Karnal,Highway,9.18,3.0,Compensation,1.0,0.0,72.3,1.0,98.0,89,09-03-2025,12-05-2024,28-07-2024,2608.0,State PWD,Completed,Not Required,No,4,None,Pending,Complete,33.66,112
AH102686,Uttar Pradesh,Agra,Highway,5.18,3.0,Notification,0.0,0.0,8.4,3.0,13.0,58,08-08-2024,17-03-2026,01-05-2026,3794.0,State PWD,Not Required,Not Required,No,19,None,Complete,Complete,86.15,178
AH102687,Haryana,Ambala,Highway,10.0,6.0,Compensation,0.0,0.0,69.5,0.0,134.0,119,22-05-2025,23-06-2025,24-07-2025,4453.0,NHAI,Completed,Completed,Yes,8,None,Partial,Complete,41.39,2
AH102688,Uttarakhand,Udham Singh Nagar,Bypass,17.7,9.0,Compensation,0.0,0.0,61.7,1.0,117.0,117,28-07-2025,23-10-2024,19-01-2025,1822.0,NHAI,Completed,Pending,No,0,None,Partial,Complete,74.93,80
AH102689,Himachal Pradesh,Sirmaur,Highway,7.57,3.0,Compensation,1.0,0.0,70.2,1.0,33.0,61,02-06-2026,01-12-2025,03-04-2026,590.0,NHAI,Pending,Completed,Yes,18,High,Partial,Partial,74.81,83
AH102690,Punjab,Patiala,Highway,5.66,3.0,Notification,0.0,0.0,23.0,1.0,10.0,45,18-10-2025,17-01-2024,11-04-2024,2185.0,NHAI,Pending,Completed,Yes,13,None,Complete,Pending,41.29,22
AH102691,Uttarakhand,Nainital,Highway,8.07,4.0,Compensation,0.0,0.0,79.6,2.0,66.0,95,30-06-2025,21-06-2025,27-07-2025,3017.0,NHAI,Pending,Completed,No,22,Medium,Complete,Partial,83.65,17
AH102692,Himachal Pradesh,Sirmaur,Bridge,30.52,12.0,Notification,2.0,1.0,6.1,2.0,34.0,93,30-03-2026,07-09-2025,08-11-2025,3886.0,Special LA Unit,Completed,Not Required,Yes,5,Low,Complete,Complete,174.4,103
AH102693,Madhya Pradesh,Gwalior,Road Widening,30.3,13.0,Award,0.0,1.0,52.4,0.0,42.0,76,17-01-2025,29-12-2025,02-04-2026,1446.0,District Administration,Pending,Completed,No,30,Medium,Complete,Complete,94.62,6
AH102694,Himachal Pradesh,Shimla,Highway,7.95,7.0,Compensation,0.0,0.0,59.4,0.0,257.0,177,21-04-2026,19-07-2024,10-10-2024,4644.0,NHAI,Completed,Pending,No,4,None,Complete,Complete,39.87,31
AH102695,Madhya Pradesh,Ujjain,Bridge,18.39,7.0,Compensation,0.0,0.0,64.7,0.0,15.0,82,28-11-2024,16-06-2025,16-11-2025,231.0,Special LA Unit,Completed,Not Required,No,1,Low,Complete,Partial,28.14,20
AH102696,Rajasthan,Ajmer,Highway,11.76,2.0,Compensation,0.0,0.0,90.9,0.0,54.0,58,25-04-2024,21-11-2025,20-03-2026,2923.0,Special LA Unit,Completed,Completed,Yes,11,None,Partial,Complete,146.01,137
AH102697,Madhya Pradesh,Jabalpur,Railway,35.57,11.0,Compensation,1.0,0.0,73.5,2.0,135.0,154,10-01-2025,18-12-2025,15-06-2026,2215.0,Special LA Unit,Completed,Completed,No,11,High,Complete,Complete,13.28,69
AH102698,Rajasthan,Jodhpur,Railway,14.05,8.0,Compensation,0.0,1.0,72.4,3.0,122.0,163,25-04-2024,07-06-2024,02-08-2024,3489.0,Special LA Unit,,Pending,Yes,28,None,Partial,Complete,21.3,44
AH102699,Rajasthan,Alwar,Highway,10.06,4.0,Objection,3.0,0.0,25.0,4.0,63.0,133,16-04-2024,28-05-2026,21-08-2026,1453.0,NHAI,Completed,Completed,No,9,None,Pending,Complete,15.26,153
AH102700,Himachal Pradesh,Shimla,Railway,46.52,18.0,Award,1.0,0.0,52.8,5.0,113.0,171,04-03-2026,03-09-2024,16-10-2024,4663.0,District Administration,Completed,Completed,No,19,Low,Complete,Complete,56.21,94
AH102701,Punjab,Ludhiana,Bridge,5.45,2.0,Award,0.0,0.0,,1.0,129.0,129,16-12-2025,17-12-2024,19-01-2025,57.0,Special LA Unit,,Completed,No,1,None,Pending,Partial,143.33,71
AH102702,Uttar Pradesh,Varanasi,Highway,15.66,7.0,Compensation,1.0,0.0,71.7,2.0,54.0,75,18-07-2024,21-06-2024,06-12-2024,4087.0,NHAI,Completed,Completed,No,18,Medium,Complete,Complete,126.76,94
AH102703,Punjab,Jalandhar,Highway,38.14,14.0,Compensation,2.0,0.0,,1.0,95.0,112,23-01-2026,14-05-2024,25-08-2024,2490.0,District Administration,Completed,Pending,No,24,Medium,Complete,Complete,161.75,113
AH102704,Rajasthan,Jodhpur,Bypass,21.04,8.0,Compensation,2.0,1.0,78.7,,121.0,136,03-03-2024,17-08-2024,23-12-2024,2603.0,NHAI,Not Required,Completed,No,22,None,Complete,Pending,112.0,152
AH102705,Uttar Pradesh,Lucknow,Highway,6.24,6.0,Compensation,0.0,0.0,70.5,0.0,17.0,38,12-09-2024,01-05-2024,11-07-2024,1590.0,State PWD,Completed,Not Required,Yes,13,High,Complete,Complete,9.55,144
AH102706,Uttarakhand,Nainital,Road Widening,5.96,6.0,Notification,,0.0,5.9,1.0,10.0,45,27-09-2025,21-10-2025,27-11-2025,1989.0,Special LA Unit,Pending,Not Required,No,16,Low,Complete,Complete,41.27,83
AH102707,Madhya Pradesh,Ujjain,Highway,3.61,4.0,Award,0.0,0.0,58.1,4.0,111.0,133,30-09-2024,21-06-2025,01-12-2025,2198.0,District Administration,Completed,Not Required,No,19,Low,Complete,Complete,13.92,94
AH102708,Punjab,Ludhiana,Bypass,42.12,20.0,Possession,0.0,0.0,95.5,0.0,8.0,48,19-10-2025,17-12-2024,24-04-2025,1589.0,State PWD,,Pending,No,13,None,Complete,Partial,49.42,178
AH102709,Himachal Pradesh,Kangra,Railway,4.56,1.0,Objection,1.0,0.0,18.1,1.0,35.0,63,25-02-2026,07-05-2025,20-09-2025,108.0,Special LA Unit,Completed,Completed,No,14,Low,Complete,Complete,166.7,100
AH102710,Rajasthan,Kota,Bridge,21.9,9.0,Notification,0.0,0.0,10.5,1.0,43.0,87,29-02-2024,27-06-2025,15-10-2025,2032.0,NHAI,Completed,Completed,No,29,None,Pending,Complete,82.83,62
AH102711,Rajasthan,Jodhpur,Highway,3.55,2.0,Compensation,0.0,0.0,85.2,1.0,114.0,108,22-01-2024,14-06-2024,12-09-2024,2038.0,State PWD,Pending,Completed,Yes,11,None,Pending,Partial,22.39,105
AH102712,Himachal Pradesh,Shimla,Bridge,104.95,40.0,Objection,4.0,0.0,23.5,1.0,31.0,135,26-04-2026,24-09-2024,26-12-2024,3623.0,State PWD,Completed,Not Required,No,28,Medium,Pending,Pending,97.25,122
AH102713,Haryana,Sirsa,Road Widening,3.78,1.0,Award,1.0,1.0,29.7,1.0,72.0,71,13-04-2025,04-03-2026,26-07-2026,2378.0,District Administration,Not Required,Pending,No,4,High,Complete,Pending,79.56,18
AH102714,Haryana,Karnal,Road Widening,12.38,7.0,Compensation,0.0,0.0,74.0,3.0,35.0,91,31-03-2025,11-01-2024,15-03-2024,2770.0,State PWD,Pending,Completed,No,14,None,Complete,Complete,175.09,169
AH102715,Haryana,Sirsa,Road Widening,33.46,11.0,Award,2.0,0.0,24.2,2.0,66.0,115,21-02-2025,11-05-2026,31-07-2026,2356.0,State PWD,Completed,Pending,No,27,Low,Partial,Complete,145.23,177
AH102716,Haryana,Sirsa,Highway,6.57,5.0,Possession,2.0,0.0,89.1,0.0,26.0,40,25-01-2025,17-05-2026,01-08-2026,2148.0,District Administration,Not Required,Completed,Yes,6,None,Complete,Partial,116.81,6
AH102717,Uttarakhand,Udham Singh Nagar,Road Widening,19.28,10.0,Possession,,0.0,85.6,0.0,50.0,42,13-09-2025,15-08-2024,01-12-2024,3598.0,NHAI,Completed,Pending,No,3,None,Pending,Complete,171.79,85
AH102718,Uttarakhand,Udham Singh Nagar,Highway,9.4,3.0,Award,0.0,0.0,50.2,3.0,50.0,95,05-06-2025,15-10-2024,08-04-2025,3394.0,NHAI,Pending,Completed,No,19,None,Complete,Pending,48.77,150
AH102719,Uttar Pradesh,Varanasi,Highway,16.61,7.0,Possession,0.0,0.0,86.6,0.0,91.0,71,27-05-2024,05-07-2024,20-12-2024,4956.0,NHAI,Completed,Completed,No,17,None,Partial,Partial,71.16,3
AH102720,Uttarakhand,Nainital,Railway,29.92,14.0,Objection,2.0,0.0,35.9,2.0,48.0,109,17-07-2025,19-05-2025,07-09-2025,2509.0,State PWD,Completed,Completed,No,14,High,Pending,Complete,95.13,69
AH102721,Uttarakhand,Dehradun,Highway,8.3,7.0,Objection,2.0,1.0,19.7,1.0,47.0,126,24-08-2025,11-07-2024,09-09-2024,187.0,NHAI,Completed,Not Required,No,30,Low,Partial,Partial,165.57,84
AH102722,Rajasthan,Ajmer,Railway,42.62,14.0,Compensation,1.0,1.0,65.0,1.0,37.0,111,12-04-2024,12-12-2025,01-06-2026,2947.0,NHAI,Not Required,Pending,No,11,Low,Pending,Complete,6.57,38
AH102723,Madhya Pradesh,Bhopal,Highway,16.11,8.0,Compensation,0.0,1.0,75.5,0.0,26.0,50,05-12-2024,14-12-2024,28-02-2025,2010.0,District Administration,Completed,Completed,No,8,Low,Pending,Partial,175.79,16
AH102724,Punjab,Firozpur,Highway,62.56,25.0,Objection,1.0,0.0,19.0,3.0,87.0,151,12-12-2025,20-05-2026,11-08-2026,524.0,District Administration,Pending,Pending,No,11,None,Pending,Partial,121.01,122
AH102725,Uttarakhand,Haridwar,Railway,5.89,3.0,Award,0.0,0.0,36.5,2.0,66.0,81,10-07-2025,06-02-2026,18-07-2026,4290.0,NHAI,Not Required,Completed,No,14,None,Partial,Complete,107.5,154
AH102726,Rajasthan,Udaipur,,6.92,6.0,Objection,2.0,0.0,30.5,1.0,26.0,74,02-05-2024,27-12-2024,06-03-2025,3183.0,State PWD,Completed,Completed,No,20,High,Complete,Partial,36.95,167
AH102727,Rajasthan,Kota,Bridge,9.8,4.0,Objection,2.0,0.0,23.2,3.0,74.0,141,06-02-2024,20-06-2025,27-09-2025,,District Administration,Not Required,Pending,No,23,Low,Partial,Complete,84.87,30
AH102728,Uttarakhand,,Bridge,4.26,2.0,Award,1.0,0.0,56.9,1.0,35.0,62,07-06-2025,22-01-2024,07-07-2024,3200.0,Special LA Unit,Completed,Completed,No,12,None,Pending,Complete,47.72,2
AH102729,Haryana,Karnal,Highway,26.23,9.0,Possession,,1.0,97.7,0.0,26.0,33,19-02-2025,01-03-2024,17-05-2024,4918.0,Special LA Unit,Pending,Pending,No,7,None,Complete,Complete,94.31,102
AH102730,Himachal Pradesh,Kangra,,11.2,6.0,Compensation,0.0,1.0,86.3,2.0,113.0,132,14-05-2026,31-03-2025,01-08-2025,3455.0,NHAI,Completed,Completed,Yes,19,None,Complete,Complete,133.26,25
AH102731,Haryana,Hisar,Highway,4.51,2.0,Award,0.0,0.0,46.8,1.0,88.0,73,15-04-2025,01-03-2025,05-04-2025,3581.0,Special LA Unit,Not Required,Not Required,No,6,Medium,Partial,Complete,156.21,40
AH102732,Himachal Pradesh,Shimla,Railway,5.93,5.0,Award,0.0,0.0,27.3,1.0,104.0,99,18-04-2026,24-12-2024,21-06-2025,3767.0,State PWD,Not Required,Completed,No,4,Low,Complete,Complete,74.52,7
AH102733,Uttar Pradesh,Lucknow,Highway,5.7,3.0,Notification,0.0,0.0,20.2,1.0,34.0,71,11-07-2024,22-03-2024,22-06-2024,3635.0,State PWD,Completed,Completed,No,3,None,Partial,Complete,11.12,32
AH102734,Haryana,Sirsa,Bridge,26.18,10.0,Award,4.0,0.0,60.2,1.0,72.0,127,06-02-2025,25-01-2026,04-06-2026,3535.0,District Administration,Pending,Completed,No,7,Medium,Partial,Pending,113.69,107
AH102735,Rajasthan,Udaipur,Bridge,17.61,8.0,Compensation,1.0,0.0,68.0,1.0,23.0,60,05-05-2024,31-12-2024,15-04-2025,426.0,NHAI,Not Required,Not Required,No,0,None,Partial,Pending,59.72,167
AH102736,Uttarakhand,Udham Singh Nagar,Highway,10.67,4.0,Compensation,0.0,0.0,89.2,1.0,77.0,90,31-05-2025,27-02-2025,02-06-2025,2041.0,State PWD,Pending,Not Required,No,20,Medium,Complete,Complete,155.03,122
AH102737,Uttar Pradesh,Kanpur Nagar,Railway,8.75,6.0,Award,2.0,0.0,39.0,0.0,60.0,87,18-06-2024,29-12-2024,29-03-2025,1412.0,State PWD,Not Required,Completed,No,8,None,Complete,Complete,105.1,136
AH102738,Haryana,Hisar,Highway,9.75,6.0,Possession,2.0,1.0,82.7,0.0,54.0,71,19-03-2025,23-03-2025,24-04-2025,4458.0,District Administration,Pending,Completed,No,2,Medium,Partial,Complete,92.0,90
AH102739,Madhya Pradesh,Jabalpur,Road Widening,54.27,22.0,Compensation,1.0,0.0,61.1,1.0,186.0,163,05-11-2024,06-08-2025,16-10-2025,2939.0,NHAI,Completed,Pending,No,21,Medium,Complete,Partial,21.35,21
AH102740,Uttar Pradesh,Meerut,Highway,9.79,3.0,Notification,0.0,0.0,1.5,0.0,40.0,54,16-06-2024,18-11-2025,13-02-2026,2603.0,NHAI,Not Required,Completed,No,27,None,Complete,Complete,114.17,61
AH102741,Rajasthan,Kota,Railway,24.75,13.0,Possession,0.0,0.0,86.1,1.0,22.0,46,28-03-2024,09-05-2025,02-08-2025,2635.0,State PWD,Pending,Completed,No,2,None,Partial,Complete,16.22,56
AH102742,Haryana,Karnal,Highway,9.03,1.0,Objection,1.0,0.0,32.5,3.0,27.0,91,05-04-2025,29-05-2024,08-08-2024,3427.0,Special LA Unit,Completed,Completed,No,6,Medium,Complete,Complete,136.01,82
AH102743,Himachal Pradesh,Solan,Bypass,49.91,21.0,Possession,3.0,0.0,83.6,0.0,26.0,76,02-05-2026,26-02-2026,02-07-2026,3824.0,District Administration,Completed,Completed,No,23,Medium,Complete,Complete,100.48,81
AH102744,Uttar Pradesh,Varanasi,Highway,4.24,3.0,Compensation,1.0,0.0,76.1,0.0,102.0,99,27-06-2024,13-09-2024,14-02-2025,1047.0,District Administration,Completed,Pending,No,24,None,Complete,Complete,128.22,96
AH102745,Madhya Pradesh,Indore,Road Widening,23.71,11.0,Award,0.0,0.0,33.7,0.0,161.0,143,30-12-2024,15-01-2024,26-06-2024,4968.0,District Administration,Pending,Completed,Yes,13,None,Partial,Pending,32.79,9
AH102746,Uttar Pradesh,Lucknow,Bridge,6.26,3.0,Award,0.0,0.0,28.7,3.0,142.0,137,21-07-2024,05-02-2024,29-07-2024,3821.0,District Administration,Pending,Completed,No,14,None,Partial,Complete,155.03,57
AH102747,Punjab,Moga,Railway,78.36,30.0,Compensation,4.0,1.0,80.3,0.0,145.0,189,29-12-2025,27-11-2025,03-04-2026,1073.0,NHAI,Not Required,Completed,No,17,Low,Complete,Pending,120.81,66
AH102748,Madhya Pradesh,Bhopal,Road Widening,21.6,10.0,Compensation,1.0,0.0,61.0,0.0,90.0,101,08-01-2025,14-12-2024,15-03-2025,3049.0,Special LA Unit,Completed,Completed,No,16,Medium,Complete,Complete,73.02,59
AH102749,Himachal Pradesh,Mandi,Highway,2.81,2.0,Compensation,0.0,0.0,71.2,0.0,70.0,68,26-05-2026,21-01-2024,26-05-2024,2170.0,NHAI,Completed,Not Required,No,9,Low,Pending,Complete,25.14,159
AH102750,Uttar Pradesh,Meerut,Highway,5.41,4.0,Award,0.0,0.0,43.3,1.0,123.0,133,08-08-2024,31-12-2025,18-02-2026,1914.0,District Administration,Completed,Completed,No,25,High,Complete,Complete,90.3,36
AH102751,Rajasthan,Jodhpur,Highway,21.38,9.0,Possession,0.0,0.0,92.0,0.0,12.0,28,13-03-2024,30-09-2024,01-03-2025,4340.0,Special LA Unit,Pending,Not Required,No,20,None,Pending,Pending,30.11,162
AH102752,Uttarakhand,Haridwar,Bridge,20.89,13.0,Award,3.0,0.0,36.5,0.0,33.0,89,08-06-2025,30-05-2026,17-09-2026,1463.0,District Administration,Not Required,Not Required,No,15,None,Complete,Complete,109.68,99
AH102753,Uttarakhand,Haridwar,Highway,19.6,5.0,Award,2.0,1.0,51.2,2.0,78.0,116,09-08-2025,02-03-2026,25-04-2026,4198.0,Special LA Unit,Not Required,Completed,No,23,None,Partial,Partial,64.19,69
AH102754,Himachal Pradesh,Mandi,Highway,13.64,9.0,Objection,2.0,1.0,32.4,1.0,48.0,98,10-06-2026,13-02-2024,16-05-2024,3202.0,NHAI,Completed,Not Required,No,7,None,Pending,Partial,165.77,141
AH102755,Himachal Pradesh,Sirmaur,Railway,9.11,5.0,Compensation,0.0,0.0,66.1,1.0,68.0,84,23-02-2026,13-09-2025,27-11-2025,4095.0,District Administration,Pending,Completed,No,2,None,Pending,Complete,172.73,169
AH102756,Himachal Pradesh,Sirmaur,Highway,30.08,13.0,Compensation,0.0,0.0,60.9,1.0,85.0,105,06-03-2026,26-06-2025,16-09-2025,3739.0,NHAI,Pending,Completed,No,9,None,Complete,Complete,23.06,109
AH102757,Uttarakhand,Dehradun,Bypass,5.73,1.0,Award,0.0,1.0,42.2,3.0,103.0,107,24-07-2025,03-06-2024,10-07-2024,3120.0,District Administration,Not Required,Pending,Yes,27,None,Pending,Partial,49.56,55
AH102758,Madhya Pradesh,Bhopal,Highway,12.5,8.0,Compensation,0.0,0.0,72.8,0.0,73.0,94,19-11-2024,04-11-2024,06-12-2024,992.0,NHAI,Pending,Completed,No,22,None,Pending,Complete,44.67,40
AH102759,Haryana,Hisar,Highway,7.05,2.0,Possession,0.0,0.0,90.3,0.0,55.0,41,21-01-2025,17-03-2025,07-06-2025,4966.0,District Administration,Completed,Pending,No,18,Low,Complete,Complete,156.9,79
AH102760,Rajasthan,Jaipur,Road Widening,6.59,6.0,Objection,1.0,0.0,24.6,2.0,33.0,77,30-04-2024,11-05-2024,25-07-2024,3230.0,State PWD,Pending,Not Required,No,17,None,Complete,Complete,68.42,169
AH102761,Haryana,Rohtak,Road Widening,8.08,3.0,Award,0.0,0.0,37.8,1.0,67.0,60,22-01-2025,11-10-2025,08-04-2026,1821.0,NHAI,Completed,Not Required,No,20,None,Partial,Pending,63.0,134
AH102762,Madhya Pradesh,Bhopal,Bridge,6.39,6.0,Award,0.0,1.0,25.6,3.0,44.0,81,23-11-2024,06-09-2024,14-11-2024,1318.0,Special LA Unit,Pending,Pending,No,28,None,Complete,Complete,167.54,118
AH102763,Rajasthan,Alwar,Highway,19.05,7.0,Notification,0.0,0.0,8.6,2.0,48.0,103,02-02-2024,23-04-2026,11-07-2026,625.0,Special LA Unit,Pending,Not Required,No,16,Low,Partial,Pending,19.86,156
AH102764,Uttar Pradesh,Meerut,Highway,3.41,1.0,Objection,1.0,0.0,28.8,0.0,60.0,68,03-07-2024,22-12-2025,07-06-2026,1612.0,NHAI,Not Required,Pending,No,10,Medium,Complete,Partial,142.43,114
AH102765,Haryana,Ambala,Highway,17.23,7.0,Compensation,0.0,0.0,80.2,2.0,28.0,73,26-04-2025,24-07-2025,29-12-2025,706.0,NHAI,Completed,Completed,No,2,None,Complete,Complete,153.48,15
AH102766,Madhya Pradesh,Indore,Highway,6.96,2.0,Objection,2.0,0.0,14.4,2.0,29.0,87,28-11-2024,17-04-2024,25-05-2024,4445.0,NHAI,Not Required,Completed,No,3,Medium,Partial,Partial,73.51,143
AH102767,Himachal Pradesh,Mandi,Road Widening,12.25,5.0,Compensation,0.0,0.0,88.3,2.0,130.0,117,13-06-2026,23-01-2024,05-03-2024,2206.0,District Administration,Completed,Pending,No,13,Medium,Complete,Partial,11.33,40
AH102768,Haryana,Karnal,Highway,10.36,8.0,Possession,0.0,0.0,92.6,1.0,29.0,26,06-03-2025,11-05-2024,24-06-2024,3148.0,Special LA Unit,Pending,Completed,No,20,Low,Complete,Complete,148.39,133
AH102769,Himachal Pradesh,Kangra,Road Widening,7.81,3.0,Objection,1.0,0.0,34.5,0.0,30.0,66,12-05-2026,25-03-2025,01-07-2025,4034.0,NHAI,Not Required,Not Required,Yes,5,None,Complete,Partial,32.19,61
AH102770,Uttarakhand,Haridwar,Bridge,33.49,14.0,Award,0.0,0.0,33.7,3.0,22.0,73,17-08-2025,04-12-2025,29-03-2026,4809.0,State PWD,Completed,Completed,No,4,None,Partial,Complete,89.64,75
